created_at,full_text,favorite_count,reply_count,retweet_count,lang,cleaned_text
2025-08-19 23:59:24+00:00,@nelsonsoetanto1 Halo Kak @nelsonsoetanto1 Paket Telkomsel dapat berubah-ubah menyesuaikan profil pelanggan loh kak. Kakak udah cek aplikasi MyTelkomsel-nya belom? Yuk dicek dulu jangan sampai kelewat promo menarik-nya :) -Pau,0,0,0,in,halo kak  paket telkomsel dapat berubahubah menyesuaikan profil pelanggan loh kak kakak udah cek aplikasi mytelkomselnya belom yuk dicek dulu jangan sampai kelewat promo menariknya  pau
2025-08-19 23:57:12+00:00,@Telkomsel kenapa ga jual youtube premium lagi ,0,1,0,in,kenapa ga jual youtube premium lagi
2025-08-19 23:57:09+00:00,@Bidibadaboo1 Maafin ya Kak @Bidibadaboo1 dibikin bingung karena link Prime Video nya belum diterima. Silakan coba akses melalui link https://t.co/ikVLE4bCgK dan masukan nomor dengan awalan 62. Semoga membantu -Vioni,0,1,0,in,maafin ya kak  dibikin bingung karena link prime video nya belum diterima silakan coba akses melalui link  dan masukan nomor dengan awalan 62 semoga membantu vioni
2025-08-19 23:55:20+00:00,@sangdarma_ @sangdarma_ Hi maaf banget Kak Pian. Boleh infoin dulu lokasi (kel kec) nomor HP dan nomor lain yang berkendala sama via DM agar dibantu cek ya. Makasih. -Dhet,0,1,0,in,hi maaf banget kak pian boleh infoin dulu lokasi kel kec nomor hp dan nomor lain yang berkendala sama via dm agar dibantu cek ya makasih dhet
2025-08-19 23:55:04+00:00, siapa tau ada yang mau beli kuota internet? sender ada kuota khusus Telkomsel Indosat Axis &amp; 3 ya. 50 ribu 50 GB 1 bulan 80 ribu 100 GB 2 bulan 100 ribu 150 GB 2 bulan 120ribu 180 GB 2 bulan 140 ribu 200 GB 2 bulan Yuk yang minat komentar ya,0,1,0,in,siapa tau ada yang mau beli kuota internet sender ada kuota khusus telkomsel indosat axis amp 3 ya 50 ribu 50 gb 1 bulan 80 ribu 100 gb 2 bulan 100 ribu 150 gb 2 bulan 120ribu 180 gb 2 bulan 140 ribu 200 gb 2 bulan yuk yang minat komentar ya
2025-08-19 23:52:27+00:00,@Telkomsel min bisa ga ya kirim ulang sms aktivasi prime sma wetv? Aku minggu lalu beli paket internet sakti cmn blom sempet aktivasi prime sama wetv karna hpku mati total,0,1,0,in,min bisa ga ya kirim ulang sms aktivasi prime sma wetv aku minggu lalu beli paket internet sakti cmn blom sempet aktivasi prime sama wetv karna hpku mati total
2025-08-19 23:48:13+00:00,@W_sepuluh @W_sepuluh Maaf jadi kurang nyaman Kak Agung. Sudah coba clear cache dan re-install pada aplikasi MyTelkomselnya? Jika sudah dan masih belum bisa yuk infoin nomor HP via DM ya. Makasih. -Dhet,0,0,0,in,maaf jadi kurang nyaman kak agung sudah coba clear cache dan reinstall pada aplikasi mytelkomselnya jika sudah dan masih belum bisa yuk infoin nomor hp via dm ya makasih dhet
2025-08-19 23:48:05+00:00,open jasa cv convert gestun pulsa telkomsel tsel byu by.u 3 tri xl axis indosat isat im3 ke saldo all ewallet &amp; bank rate cantik. ada juga pulsa transfer &amp; kuota murah harga under apps cek stock dan harga ke WA di bio #zonauang 0648,0,0,0,in,open jasa cv convert gestun pulsa telkomsel tsel byu byu 3 tri xl axis indosat isat im3 ke saldo all ewallet amp bank rate cantik ada juga pulsa transfer amp kuota murah harga under apps cek stock dan harga ke wa di bio zonauang 0648
2025-08-19 23:47:58+00:00,@xojolx @DPR_RI @IndiHome @Telkomsel Pantes pd halalin segala cara di 5thnan buat dpt ini... Ternyata yg benar Pengemis itu yg uber 5thnan,0,1,0,in,pantes pd halalin segala cara di 5thnan buat dpt ini ternyata yg benar pengemis itu yg uber 5thnan
2025-08-19 23:44:00+00:00,Lucunya bumn ini @Telkomsel Hampir sejam gini terus yang d salahin koneksi. Padahal wifi full speed. Notifikasinya di ganti ya bos bukan cek kembali koneksi. Tapi server kami sedang sibuk / penuh. Jangan pake alibi koneksi terus. https://t.co/TJz24Rheol,3,1,0,in,lucunya bumn ini  hampir sejam gini terus yang d salahin koneksi padahal wifi full speed notifikasinya di ganti ya bos bukan cek kembali koneksi tapi server kami sedang sibuk  penuh jangan pake alibi koneksi terus
