"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1957954892221546971","Tue Aug 19 23:59:24 +0000 2025","0","@nelsonsoetanto1 Halo Kak @nelsonsoetanto1 Paket Telkomsel dapat berubah-ubah menyesuaikan profil pelanggan loh kak. Kakak udah cek aplikasi MyTelkomsel-nya belom? Yuk dicek dulu jangan sampai kelewat promo menarik-nya :) -Pau","1957955590774538441","","nelsonsoetanto1","in","","0","0","0","https://x.com/undefined/status/1957955590774538441","255409050",
"1957955035138257108","Tue Aug 19 23:57:12 +0000 2025","0","@Telkomsel kenapa ga jual youtube premium lagi ","1957955035138257108","","Telkomsel","in","","0","1","0","https://x.com/undefined/status/1957955035138257108","1368524005",
"1957953841959432195","Tue Aug 19 23:57:09 +0000 2025","0","@Bidibadaboo1 Maafin ya Kak @Bidibadaboo1 dibikin bingung karena link Prime Video nya belum diterima. Silakan coba akses melalui link https://t.co/ikVLE4bCgK dan masukan nomor dengan awalan 62. Semoga membantu -Vioni","1957955022588932508","","Bidibadaboo1","in","","0","1","0","https://x.com/undefined/status/1957955022588932508","255409050",
"1957953898435735985","Tue Aug 19 23:55:20 +0000 2025","0","@sangdarma_ @sangdarma_ Hi maaf banget Kak Pian. Boleh infoin dulu lokasi (kel kec) nomor HP dan nomor lain yang berkendala sama via DM agar dibantu cek ya. Makasih. -Dhet","1957954566219264239","","sangdarma_","in","","0","1","0","https://x.com/undefined/status/1957954566219264239","255409050",
"1957954499408019661","Tue Aug 19 23:55:04 +0000 2025","0"," siapa tau ada yang mau beli kuota internet? sender ada kuota khusus Telkomsel Indosat Axis &amp; 3 ya. 50 ribu 50 GB 1 bulan 80 ribu 100 GB 2 bulan 100 ribu 150 GB 2 bulan 120ribu 180 GB 2 bulan 140 ribu 200 GB 2 bulan Yuk yang minat komentar ya","1957954499408019661","","","in","","0","1","0","https://x.com/undefined/status/1957954499408019661","511894093",
"1957953841959432195","Tue Aug 19 23:52:27 +0000 2025","0","@Telkomsel min bisa ga ya kirim ulang sms aktivasi prime sma wetv? Aku minggu lalu beli paket internet sakti cmn blom sempet aktivasi prime sama wetv karna hpku mati total","1957953841959432195","","Telkomsel","in","","0","1","0","https://x.com/undefined/status/1957953841959432195","1290315631754002434",
"1957951713740222781","Tue Aug 19 23:48:13 +0000 2025","0","@W_sepuluh @W_sepuluh Maaf jadi kurang nyaman Kak Agung. Sudah coba clear cache dan re-install pada aplikasi MyTelkomselnya? Jika sudah dan masih belum bisa yuk infoin nomor HP via DM ya. Makasih. -Dhet","1957952778120360141","","W_sepuluh","in","","0","0","0","https://x.com/undefined/status/1957952778120360141","255409050",
"1944188960537755953","Tue Aug 19 23:48:05 +0000 2025","0","open jasa cv convert gestun pulsa telkomsel tsel byu by.u 3 tri xl axis indosat isat im3 ke saldo all ewallet &amp; bank rate cantik. ada juga pulsa transfer &amp; kuota murah harga under apps cek stock dan harga ke WA di bio #zonauang 0648","1957952741181124688","","yejfy","in","","0","0","0","https://x.com/undefined/status/1957952741181124688","897888295",
"1957951200596488440","Tue Aug 19 23:47:58 +0000 2025","0","@xojolx @DPR_RI @IndiHome @Telkomsel Pantes pd halalin segala cara di 5thnan buat dpt ini... Ternyata yg benar Pengemis itu yg uber 5thnan","1957952711955206640","","xojolx","in","","0","1","0","https://x.com/undefined/status/1957952711955206640","1691555043970002944",
"1957951713740222781","Tue Aug 19 23:44:00 +0000 2025","2","Lucunya bumn ini @Telkomsel Hampir sejam gini terus yang d salahin koneksi. Padahal wifi full speed. Notifikasinya di ganti ya bos bukan cek kembali koneksi. Tapi server kami sedang sibuk / penuh. Jangan pake alibi koneksi terus. https://t.co/TJz24Rheol","1957951713740222781","https://pbs.twimg.com/media/GywKtRXaUAAguy_.jpg","","in","","0","1","0","https://x.com/undefined/status/1957951713740222781","559714221",
"1957951200596488440","Tue Aug 19 23:41:57 +0000 2025","1","Edyaaaann... Bantuan listrik dan telepon sampai +7 juta. Gak sekalian @DPR_RI ada juga tunjangan internet? Kerjasama dengan @IndiHome @Telkomsel https://t.co/7qmhUBVsI2","1957951200596488440","https://pbs.twimg.com/media/GywKO_cacAEXmH5.jpg","","in","","0","1","0","https://x.com/undefined/status/1957951200596488440","1052797180442959872",
"1957950139613720814","Tue Aug 19 23:40:02 +0000 2025","0","@chnyoung21 @chnyoung21 Siap Kak. OTW cek DM kakak dulu yaa-Pau","1957950717660209337","","chnyoung21","in","","0","0","0","https://x.com/undefined/status/1957950717660209337","255409050",
"1943885775722230029","Tue Aug 19 23:38:34 +0000 2025","0","sudah open! convert ewallet premium non premium qris bayar ecommerce ukt tes ujian &amp; pembayaran tagihan lainnya via VA bca bni bri mandiri seabank cv pulsa telkomsel byu 3 xl axis isat indosat pulsa transfer kuota murah tsel tri xl axis im3 #zonauang 038","1957950346145460712","","aurolune","in","","0","0","0","https://x.com/undefined/status/1957950346145460712","1412859474",
"1957950139613720814","Tue Aug 19 23:37:44 +0000 2025","0","@Telkomsel cek dm min","1957950139613720814","","Telkomsel","in","","0","1","0","https://x.com/undefined/status/1957950139613720814","1793963584609038336",
"1957948986461155379","Tue Aug 19 23:34:24 +0000 2025","0","@johnnyuseo Halo juga Kak @johnnyuseo. Kalau pulsa nya terpotong karena internet non paket. Aci sarankan buat aktivasi fitur Jaga Pulsa di aplikasi MyTelkomsel ya biar pulsa nya tidak tergunakan untuk akses internet. Makasih -Aci","1957949300673245272","","johnnyuseo","in","","0","1","0","https://x.com/undefined/status/1957949300673245272","255409050",
"1957949147979661735","Tue Aug 19 23:33:48 +0000 2025","0","(123) #zonauang halooo~ yg butuh gestun cv pulsa &amp; saldo ewallet/qris/bank bisa langsung wa di bio yaaaw t. jasa convert wtt tukar trade dana spay ovo gopay bank pencairan cairin yup kredivo bca jenius paylater credit card indosat telkomsel xl smartfren byu by.u axis","1957949147979661735","","","in","","0","0","0","https://x.com/undefined/status/1957949147979661735","2658696811",
"1957948770869735783","Tue Aug 19 23:32:18 +0000 2025","0","Kocak nih Telkomsel abis dibales langsung ghosting","1957948770869735783","","","in","","0","1","0","https://x.com/undefined/status/1957948770869735783","1817914979246653440",
"1957850190330884256","Tue Aug 19 23:31:28 +0000 2025","0","@nna Prime dapet gratisan dari paket telkomsel","1957948561141952727","","nna","in","","0","1","0","https://x.com/undefined/status/1957948561141952727","1859212724",
"1957947664487838024","Tue Aug 19 23:30:41 +0000 2025","0","@umbicuan @umbicuan Maafin bisa dibantu blokir ya Kak. Yuk infoin nomor HP via DM agar dibantu dan privasi data tetap aman. Makasih. -Dhet","1957948363770589567","","umbicuan","in","","0","0","0","https://x.com/undefined/status/1957948363770589567","255409050",
"1957948223232045327","Tue Aug 19 23:30:07 +0000 2025","0","kok Telkomsel E. tri nya 4g+","1957948223232045327","","","in","","0","1","0","https://x.com/undefined/status/1957948223232045327","2662954656",
