conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,processed_text,id,original_text
1.9494245628289764e+18,Sun Jul 27 11:00:08 +0000 2025,0,Layanan Telkomsel &amp; IndiHome di Nabire Serui dan Waropen Terganggu Ini Penyebabnya! Baca selengkapnya di https://t.co/qIwyAKcMcg https://t.co/U1phqYlScL #Telkomsel #IndiHome #Nabire #Serui #Waropen #GangguanInternet #PalapaRingTimur #TelkomGroup #InfoLayanan #Papua,1.9494245628289764e+18,,,in,,0.0,0.0,0,https://x.com/undefined/status/1949424562828976376,1189741956.0,,layanan telkomsel amp indihome di nabire serui dan waropen terganggu ini penyebabnya baca selengkapnya di telkomsel indihome nabire serui waropen gangguaninternet palaparingtimur telkomgroup infolayanan papua,,
,Sun Jul 27 11:00:08 +0000 2025,0,,,,,,,,,0,,,,layanan telkomsel amp indihome di nabire serui dan waropen terganggu ini penyebabnya baca selengkapnya di telkomsel indihome nabire serui waropen gangguaninternet palaparingtimur telkomgroup infolayanan papua,1.9494245628289764e+18,Layanan Telkomsel &amp; IndiHome di Nabire Serui dan Waropen Terganggu Ini Penyebabnya! Baca selengkapnya di https://t.co/qIwyAKcMcg https://t.co/U1phqYlScL #Telkomsel #IndiHome #Nabire #Serui #Waropen #GangguanInternet #PalapaRingTimur #TelkomGroup #InfoLayanan #Papua
,Mon Jul 28 06:13:03 +0000 2025,0,,,,,,,,,0,,,,berlangganan xlhome setahun kurang lebih sama hasilnya sdh saatnya pindah provider krn setiap keluhan tdk direspon digubris xlhome myrepublic biznet iconnet indihome cbnnet,1.949714699865752e+18,Berlangganan XLHome setahun ini kurang lebih sama hasilnya. @myXL Sdh saatnya pindah provider. Krn setiap keluhan TDK direspon dan digubris. #xlhome #myrepublic #biznet #iconnet #indihome #cbnnet https://t.co/u3PaEpP7Ok
,Sun Jul 27 10:34:19 +0000 2025,0,,,,,,,,,0,,,,indihome kenapa sih sinyalnya kok gak munculll,1.9494180628785564e+18,#indihome ini kenapa sih sinyalnya kok gak munculll???? @IndiHomeCare @IndiHome
,Sun Jul 27 03:37:17 +0000 2025,0,,,,,,,,,0,,,,indihome telkomsellemot indihomegangguan,1.949313113448473e+18,#indihome #telkomsellemot #indihomegangguan
,Sat Jul 26 12:22:55 +0000 2025,0,,,,,,,,,0,,,,indihome plis deh akhir bulan lemot bgt,1.949083004519044e+18,#indihome @IndiHomeCare PLIS DEH AKHIR BULAN LEMOT BGT!
,Fri Jul 25 03:46:06 +0000 2025,0,,,,,,,,,0,,,,open payment tagihan token listrik tagihan listrik bpjs pdam pascabayar indihome dapatkan disc silahkan hubungi mintrip yaa pastinya lebih murah drpd bayar sendiri triptoparadise tagihanmurah indihome bpjs tokenlistrik pascabayar pdam,1.948590558488003e+18,Open payment untuk tagihan: - Token listrik - Tagihan listrik - BPJS - PDAM - Pascabayar - Indihome Dapatkan disc 5%-10%‼️silahkan hubungi minTrip yaa. Pastinya lebih murah drpd bayar sendiri #triptoparadise #tagihanmurah #indihome #bpjs #tokenlistrik #pascabayar #PDAM https://t.co/K7MHpHqCaM
,Fri Jul 25 02:32:08 +0000 2025,0,,,,,,,,,0,,,,terima pasang baru wifi indihome area semarang indihome indihomesemarang pasangwifi,1.948571944573698e+18,terima pasang baru wifi indihome area semarang #indihome #indihomesemarang #pasangwifi https://t.co/CohVROjA8H
,Wed Jul 23 05:57:14 +0000 2025,0,,,,,,,,,0,,,,mohon dibantu contact indihome klaten min buat gangguan internet indihome klaten,1.947898781825176e+18,@IndiHomeCare @IndiHome @IndihomeJTD mohon dibantu contact indihome klaten min buat gangguan internet @kabarklaten #indihome #klaten
,Wed Jul 23 03:23:05 +0000 2025,0,,,,,,,,,0,,,,indihome,1.947859988933972e+18,#indihome
